iter	Passed	Remaining
0	2	236
1	4	241
2	7	239
3	9	230
4	12	231
5	14	224
6	16	219
7	18	217
8	20	211
9	23	208
10	25	203
11	27	204
12	30	202
13	32	198
14	35	199
15	37	196
16	39	194
17	42	192
18	44	191
19	47	188
20	49	186
21	51	183
22	54	181
23	56	179
24	59	177
25	62	176
26	64	174
27	67	172
28	69	170
29	72	168
30	74	166
31	77	163
32	79	160
33	81	158
34	83	155
35	86	154
36	89	152
37	91	149
38	94	147
39	96	145
40	99	142
41	101	140
42	104	138
43	106	135
44	108	132
45	110	129
46	112	127
47	114	124
48	117	122
49	119	119
50	122	117
51	124	114
52	127	112
53	129	110
54	131	107
55	134	105
56	137	103
57	140	101
58	142	98
59	144	96
60	147	94
61	149	91
62	152	89
63	154	87
64	157	84
65	159	82
66	162	79
67	164	77
68	167	75
69	168	72
70	171	70
71	174	67
72	176	65
73	178	62
74	181	60
75	183	58
76	187	55
77	189	53
78	191	50
79	194	48
80	196	46
81	199	43
82	201	41
83	204	38
84	206	36
85	209	34
86	211	31
87	214	29
88	217	26
89	219	24
90	222	21
91	224	19
92	226	17
93	229	14
94	231	12
95	234	9
96	236	7
97	239	4
98	241	2
99	244	0
