iter	Logloss
0	0.6636939016
1	0.6364490224
2	0.6110913024
3	0.5841794695
4	0.5633285419
5	0.5386384198
6	0.5168994722
7	0.4980191601
8	0.4851290125
9	0.4675371858
10	0.4519033627
11	0.4368606879
12	0.4273744959
13	0.4194146241
14	0.4082828444
15	0.4018129362
16	0.3965822077
17	0.3902492393
18	0.38184925
19	0.3746044652
20	0.3664716863
21	0.3619926608
22	0.3546260393
23	0.3478872598
24	0.3442047534
25	0.3391954591
26	0.3358696399
27	0.3303664331
28	0.3273922667
29	0.3238639572
30	0.3203796075
31	0.3175895847
32	0.3153770343
33	0.3110046906
34	0.3080495718
35	0.3044286715
36	0.3022614823
37	0.2989532315
38	0.2957269837
39	0.2927867344
40	0.2902551768
41	0.288428845
42	0.2858474887
43	0.2842372972
44	0.2810705276
45	0.2779866173
46	0.2760060369
47	0.2736514085
48	0.2720005788
49	0.2698808787
50	0.2680851683
51	0.2650523283
52	0.2634397753
53	0.2617650973
54	0.2599262575
55	0.2583242144
56	0.256138834
57	0.2534215499
58	0.2514754055
59	0.2492555891
60	0.2479937806
61	0.2456836311
62	0.2451565801
63	0.2436493854
64	0.2423098298
65	0.2405388242
66	0.2388774846
67	0.2373579116
68	0.2359529872
69	0.2342907134
70	0.2325653284
71	0.231045418
72	0.2300983351
73	0.2291851433
74	0.22697101
75	0.2259724675
76	0.2244846059
77	0.2233874522
78	0.2216004093
79	0.2204606971
80	0.2195938526
81	0.2183354696
82	0.217217374
83	0.2166800986
84	0.2151982314
85	0.2136583004
86	0.2122817526
87	0.2113822107
88	0.210391103
89	0.2095404515
90	0.2080157014
91	0.2067954394
92	0.2054825867
93	0.2045503214
94	0.2031756291
95	0.2019276781
96	0.200734651
97	0.1996782264
98	0.1982316127
99	0.1970992575
100	0.1964722199
101	0.1949116194
102	0.1932685748
103	0.1920225442
104	0.1911164757
105	0.1900028307
106	0.1888144876
107	0.1879854267
108	0.1868155473
109	0.1859431624
110	0.1843459979
111	0.1830877706
112	0.1820869965
113	0.1807800085
114	0.1800240757
115	0.1790473834
116	0.1782008061
117	0.1772264364
118	0.1759951585
119	0.175213976
120	0.1742728616
121	0.1736088448
122	0.1730079651
123	0.1720321551
124	0.1708503775
125	0.1702211082
126	0.1688563029
127	0.1673906806
128	0.1669422461
129	0.1659304301
130	0.164928566
131	0.1643272582
132	0.1636753472
133	0.1628696156
134	0.1619172648
135	0.1612016847
136	0.1604747123
137	0.1595545658
138	0.1587783398
139	0.1579381333
140	0.1573660325
141	0.1564792451
142	0.155653973
143	0.1544892707
144	0.1536341557
145	0.1525684538
146	0.1520552733
147	0.1507000566
148	0.1499939614
149	0.149306693
150	0.149155234
151	0.1482007682
152	0.146978002
153	0.1454431962
154	0.1447638168
155	0.1439212488
156	0.1428741403
157	0.1422010149
158	0.1416547866
159	0.1404695057
160	0.1400898784
161	0.1396348914
162	0.1394472966
163	0.1389846802
164	0.1380326926
165	0.136987777
166	0.1363564965
167	0.135890779
168	0.1356523994
169	0.1354308355
170	0.1350278141
171	0.13390894
172	0.1337077861
173	0.1328523467
174	0.1317800794
175	0.1305645664
176	0.1300941
177	0.1292173944
178	0.1279227588
179	0.1273178568
180	0.1268197403
181	0.1262973993
182	0.1250857139
183	0.1250135461
184	0.1243859894
185	0.123663805
186	0.1231835034
187	0.1221270659
188	0.1213659299
189	0.1207739642
190	0.1204447584
191	0.1199276334
192	0.1189429355
193	0.1182922311
194	0.1174301225
195	0.1170117774
196	0.1164193964
197	0.1159216952
198	0.1152923999
199	0.1145799468
